 , ,Fino. BP,MAP,Systolic,Diastolic,MSNA Iowa Int.,MSNA Iowa Int.,MSNA Iowa Int.,MSNA Iowa Int.
Sel Start,Sel Duration,Cmt Text,Value,Value,Value,Cmt Text,Cmt No,Minimum,Max - Min
s,s, ,mmHg,mmHg,mmHg, , ,V,V
10966.40756,1.17, ,86.31285858,126.7515411,66.56243134,BURST,472,0.5438,0.0687
10967.57756,1.33, ,88.24237061,125.5942612,61.71834183,BURST,472,0.5184,0.0784
10968.90756,1.22, ,83.16918182,123.9106674,64.43747711,BURST,472,0.5266,0.0797
10970.12756,1.28, ,84.94657135,123.9062653,59.59368134,BURST,472,0.5156,0.0831
10971.40756,1.185, ,80.76065063,121.2825699,62.0303688,BURST,475,0.5169,0.1272
10972.59256,1.225, ,82.02436066,121.1875,58.68652344,BURST,475,0.5228,0.0684
10973.81756,1.155, ,78.9716568,118.5005722,60.49962234,BURST,475,0.5309,0.0887
10974.97256,1.175, ,78.9716568,118.5005722,60.49962234,BURST,475,0.53,0.0681
10976.14756,1.17, ,75.94805145,115.8439713,57.87388229,BURST,475,0.5344,0.0794
10977.31756,1.06, ,75.94805145,115.8439713,57.87388229,BURST,475,0.5478,0.0534
10978.37756,1.165, ,76.56303406,117.7191086,56.15623093,BURST,475,0.5388,0.0662
10979.54256,1.11, ,75.34638214,114.4383087,58.18695068,BURST,475,0.5528,0.0778
10980.65256,1.125, ,75.34638214,114.4383087,58.18695068,BURST,475,0.5681,0.0681
10981.77756,1.11, ,76.37233734,115.3125,53.53116226,BURST,476,0.5344,0.1481
10982.88756,1.095, ,74.08955383,111.4375534,56.34370804,BURST,476,0.5272,0.0675
10983.98256,1.195, ,76.02302551,114.8440018,54.68618011,BURST,476,0.5234,0.0769
10985.17756,1.055, ,76.13716125,116.5631485,56.906147,BURST,477,0.535,0.1322
10986.23256,1.045, ,76.13716125,116.5631485,56.906147,BURST,477,0.5319,0.0622
10987.27756,1.155, ,77.25794983,115.1573257,53.28104782,BURST,477,0.5419,0.0625
10988.43256,1.265, ,76.75428772,113.8445129,57.43624878,BURST,477,0.5191,0.075
10989.69756,1.225, ,75.38634491,118.9379654,56.53062439,BURST,478,0.5263,0.1234
10990.92256,1.185, ,73.5054245,115.8751068,52.37462616,BURST,478,0.5172,0.085
10992.10756,1.38, ,71.2927475,112.2502365,52.43738174,BURST,478,0.5259,0.0791
10993.48756,1.305, ,68.63982391,112.2188721,52.15561295,BURST,479,0.5166,0.1837
10994.79256,1.3, ,67.86095428,108.0315323,46.34370041,BURST,479,0.5216,0.0847
10996.09256,1.205, ,66.09378815,105.3442764,49.12392426,BURST,480,0.5406,0.2194
10997.29756,1.21, ,69.68624115,107.0011444,48.06164932,BURST,480,0.5247,0.0844
10998.50756,1.26, ,69.73818207,107.1251831,51.59371948,BURST,480,0.5263,0.0938
10999.76756,1.11, ,72.83348083,110.4063339,52.46874619,BURST,481,0.5334,0.1856
11000.87756,1.215, ,72.83348083,110.4063339,52.46874619,BURST,481,0.5153,0.0691
11002.09256,1.15, ,75.07500458,112.1574326,57.96672058,BURST,481,0.5394,0.0809
11003.24256,1.235, ,75.07500458,112.1574326,57.96672058,BURST,481,0.5484,0.0622
11004.47756,1.19, ,77.39229584,115.5943069,60.12441254,BURST,482,0.5603,0.1388
11005.66756,1.16, ,80.43874359,118.875351,57.5625,BURST,482,0.5684,0.08
11006.82756,1.115, ,80.43874359,118.875351,57.5625,BURST,482,0.5397,0.0637
11007.94256,1.235, ,79.12124634,115.5639725,59.43748474,BURST,482,0.5569,0.0834
11009.17756,1.145, ,83.81342316,124.3753204,63.84328079,BURST,482,0.5616,0.0828
11010.32256,1.395, ,83.81342316,124.3753204,63.84328079,BURST,482,0.5659,0.1019
11011.71756,1.245, ,80.22311401,125.0018463,63.74789047,BURST,483,0.5934,0.1209
